Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.63544150455062E-06,0.0585613447753292,-0.0614713657844919,0,0,0,4.45218985232546,0.066816643851739,2.67754716420424E-08,-1.8837558389635E-07,0.0777035053703119,2.79926678789631E-06,0.143829093805577,0,0,0,0,0,0,package://basic_amr/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/base_link.STL,,Main_Body-1,ICC,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,-8.82677809332737E-08,1.8768321230489E-08,-1.07619964537231E-05,0,0,0,0.671865219229547,0.00152382830265562,-2.98413960790954E-09,7.07941783230494E-10,0.00152383789327469,-3.46928687264092E-10,0.00291423163667509,0,0,0,0,0,0,package://basic_amr/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/right_wheel.STL,,Drive_Wheel-1,Right_Wheel_CRF,Right_Wheel_Axis,right_wheel_hinge,continuous,0.2231,0,-0.13125,1.5708,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
left_wheel,-7.44125831786402E-08,5.10511359796595E-08,-1.07619964536954E-05,0,0,0,0.671865219229546,0.00152382759476079,1.27075746572592E-09,5.21822709261331E-10,0.00152383860116951,-5.9096710142078E-10,0.00291423163667508,0,0,0,0,0,0,package://basic_amr/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/left_wheel.STL,,Drive_Wheel-2,Left_Wheel_CRF,Left_Wheel_Axis,left_wheel_hinge,continuous,-0.2231,0,-0.13125,3.1416,-1.5708,0,base_link,0,0,-1,,,,,,,,,,,,
swivel_FR,2.10863983640674E-06,-0.0155771680202314,-0.0262317388766869,0,0,0,0.0401879953591251,4.73544910464119E-05,-6.8851690410037E-10,-4.43617183457905E-10,5.07216320491779E-05,-1.0672961583097E-05,4.82016109048881E-05,0,0,0,0,0,0,package://basic_amr/meshes/swivel_FR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/swivel_FR.STL,,Castor_Swivel2-1,Swivel_FR_CRF,Swivel_FR_Axis,swivel_FR_hinge,continuous,0.163,0.2505,-0.072,0,0,0,base_link,0,0,1,,,,,,,,,,,,
castor_FR,-2.77555756156289E-17,0,-5.55111512312578E-17,0,0,0,0.161396093614819,0.000220513659227019,-8.16892691547843E-20,-6.55966950108417E-19,0.000220513659227019,2.72239433110982E-19,0.000416796707486866,0,0,0,0,0,0,package://basic_amr/meshes/castor_FR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/castor_FR.STL,,Castor_Wheel-1,Castor_FR_CRF,Castor_FR_Axis,castor_FR_hinge,continuous,0.00100000000000061,-0.0420375051343131,-0.0815575197240634,1.5707963267949,0,1.5707963267949,swivel_FR,0,0,1,,,,,,,,,,,,
swivel_FL,2.10863983640674E-06,-0.0155771680202314,-0.0262317388766873,0,0,0,0.0401879953591256,4.73544910464128E-05,-6.8851690414419E-10,-4.43617183428621E-10,5.0721632049179E-05,-1.0672961583097E-05,4.82016109048895E-05,0,0,0,0,0,0,package://basic_amr/meshes/swivel_FL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/swivel_FL.STL,,Castor_Swivel2-2,Swivel_FL_CRF,Swivel_FL_Axis,swivel_FL_hinge,continuous,-0.162,0.2505,-0.072,0,0,0,base_link,0,0,1,,,,,,,,,,,,
castor_FL,-3.02535774210355E-15,-3.88578058618805E-16,-8.60422844084496E-16,0,0,0,0.16139609361482,0.00022051365922702,-6.42031398444213E-21,1.98053690680625E-19,0.00022051365922702,-1.29205539932574E-18,0.000416796707486866,0,0,0,0,0,0,package://basic_amr/meshes/castor_FL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/castor_FL.STL,,Castor_Wheel-2,Castor_FL_CRF,Castor_FL_Axis,castor_FL_hinge,continuous,0.001,-0.042038,-0.081558,1.5708,0,1.5708,swivel_FL,0,0,1,,,,,,,,,,,,
swivel_BR,2.10863983626797E-06,-0.0155771680202312,-0.0262317388766873,0,0,0,0.0401879953591256,4.73544910464123E-05,-6.88516904357155E-10,-4.43617183373066E-10,5.07216320491788E-05,-1.0672961583097E-05,4.8201610904889E-05,0,0,0,0,0,0,package://basic_amr/meshes/swivel_BR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/swivel_BR.STL,,Castor_Swivel2-3,Swivel_BR_CRF,Swivel_BR_Axis,swivel_BR_hinge,continuous,0.1605,-0.2495,-0.072,0,0,0,base_link,0,0,1,,,,,,,,,,,,
castor_BR,5.55111512312578E-17,0,-2.77555756156289E-17,0,0,0,0.161396093614819,0.000220513659227019,-1.13046961561861E-20,2.21442502435767E-19,0.000220513659227019,-1.38450739983862E-18,0.000416796707486866,0,0,0,0,0,0,package://basic_amr/meshes/castor_BR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/castor_BR.STL,,Castor_Wheel-6,Castor_BR_CRF,Castor_BR_Axis,castor_BR_hinge,continuous,0.001,-0.042038,-0.081558,1.5708,0,1.5708,swivel_BR,0,0,1,,,,,,,,,,,,
swivel_BL,2.10863983632348E-06,-0.0155771680202315,-0.0262317388766868,0,0,0,0.0401879953591248,4.73544910464117E-05,-6.88516903827156E-10,-4.43617183562825E-10,5.07216320491788E-05,-1.0672961583097E-05,4.82016109048888E-05,0,0,0,0,0,0,package://basic_amr/meshes/swivel_BL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://basic_amr/meshes/swivel_BL.STL,,Castor_Swivel2-4,Swivel_BL_CRF,Swivel_BL_Axis,swivel_BL_hinge,continuous,-0.1605,-0.2495,-0.072,0,0,0,base_link,0,0,1,,,,,,,,,,,,
