Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.3964E-07,0.067797,-0.06095,0,0,0,3.8632,0.066007,2.416E-08,-3.2997E-08,0.076685,1.2597E-07,0.1421,0,0,0,0,0,0,package://full_amr/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/base_link.STL,,Main Body-1,base_link_CRF,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_pivot,6.7225E-05,0.042261,0.014296,0,0,0,0.17398,0.00035672,8.0021E-10,-7.7696E-08,6.8709E-05,3.4167E-06,0.00038711,0,0,0,0,0,0,package://full_amr/meshes/right_pivot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/right_pivot.STL,,SidePivot2_corrected-1,right_pivot_CRF,right_pivot_axis,right_pivot_hinge,continuous,0.1625,0.1275,-0.081,0,0,0,base_link,1,0,0,,,,,,,,,,,,
right_wheel,8.8292E-08,-1.8654E-08,-1.0762E-05,0,0,0,0.67187,0.0015238,-2.9966E-09,-7.0839E-10,0.0015238,3.4601E-10,0.0029142,0,0,0,0,0,0,package://full_amr/meshes/right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/right_wheel.STL,,Drive_Wheel-1,right_wheel_CRF,right_wheel_axis,right_wheel_hinge,continuous,0.0606,-0.12783,-0.049416,1.5708,0,1.5708,right_pivot,0,0,-1,,,,,,,,,,,,
FR_swivel,2.1014E-06,-0.015845,-0.026318,0,0,0,0.040333,4.7854E-05,-6.9028E-10,-4.4552E-10,5.1062E-05,-1.0892E-05,4.8532E-05,0,0,0,0,0,0,package://full_amr/meshes/FR_swivel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/FR_swivel.STL,,Castor_Swivel-1,swivel_FR_CRF,swivel_FR_axis,FR_swivel_hinge,continuous,0.000499999999999584,0.123056163560861,0.00819637783921516,0,0,0,right_pivot,0,0.00653195251969943,0.999978666570583,,,,,,,,,,,,
FR_castor,2.1649E-14,-1.027E-15,1.8929E-14,0,0,0,0.1614,0.0004168,2.7412E-18,-6.9496E-19,0.00022051,2.8267E-20,0.00022051,0,0,0,0,0,0,package://full_amr/meshes/FR_castor.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/FR_castor.STL,,Castor_Wheel-2,castor_FR_CRF,castor_FR_axis,FR_castor_hinge,continuous,0.00099999999997849,-0.0425510539838774,-0.0842238553194065,0,0,0,FR_swivel,1,0,0,,,,,,,,,,,,
left_pivot,6.7225E-05,0.042152,0.014614,0,0,0,0.17398,0.00035672,1.3844E-09,-7.7688E-08,6.8675E-05,1.0222E-06,0.00038715,0,0,0,0,0,0,package://full_amr/meshes/left_pivot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/left_pivot.STL,,SidePivot2_corrected-2,left_pivot_CRF,left_pivot_axis,left_pivot_hinge,continuous,-0.1625,0.1275,-0.081,0,0,0,base_link,1,0,0,,,,,,,,,,,,
left_wheel,5.1051E-08,7.4413E-08,-1.0762E-05,0,0,0,0.67187,0.0015238,-1.2708E-09,-5.9097E-10,0.0015238,-5.2182E-10,0.0029142,0,0,0,0,0,0,package://full_amr/meshes/left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/left_wheel.STL,,Drive_Wheel-3,left_wheel_CRF,left_wheel_axis,left_wheel_hinge,continuous,-0.0606000000000003,-0.127450321712043,-0.050375867193494,3.14159265358979,-1.5707963267949,0,left_pivot,0,0,-1,,,,,,,,,,,,
FL_swivel,6.5512E-05,-0.015646,-0.026436,0,0,0,0.040333,4.7854E-05,-1.4283E-08,4.3543E-08,5.1226E-05,-1.0871E-05,4.8368E-05,0,0,0,0,0,0,package://full_amr/meshes/FL_swivel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/FL_swivel.STL,,Castor_Swivel-2,swivel_FL_CRF,swivel_FL_axis,FL_swivel_hinge,continuous,0.000499999999999945,0.122991053569608,0.00912144406537516,0,0,0,left_pivot,0,-0.000987385793199488,0.999999512534529,,,,,,,,,,,,
FL_castor,-2.7756E-17,-2.7756E-17,-5.5511E-17,0,0,0,0.1614,0.00041679,7.9415E-07,7.8413E-10,0.00022052,3.1726E-12,0.00022051,0,0,0,0,0,0,package://full_amr/meshes/FL_castor.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_amr/meshes/FL_castor.STL,,Castor_Wheel-3,castor_FL_CRF,castor_FL_axis,FL_castor_hinge,continuous,-0.000830061024273993,-0.0419202476273774,-0.0845414326679843,0,0,0,FL_swivel,0.999991815024994,0.00404596923608611,0,,,,,,,,,,,,
back_pivot,2.40017926138347E-17,0.000116576900137055,0.0183318680820081,0,0,0,0.241012788592429,9.580182683753E-05,-3.45325287521015E-20,-6.09125985912172E-21,0.000880790277251447,5.09984854060712E-21,0.000957865697471465,0,0,0,0,0,0,package://full_amr/meshes/back_pivot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_amr/meshes/back_pivot.STL,,BackPivot_corrected-1,back_pivot_CRF,back_pivot_axis,back_pivot_hinge,continuous,0,-0.25,-0.081,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
