Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0694808032720803,-4.50796504569695E-07,0.0733703353644319,0,0,0,3.76763445588817,0.0766714321789767,-2.41600659570515E-08,1.25967847791081E-07,0.0659904252719117,3.29972382668583E-08,0.142086055251958,0,0,0,0,0,0,package://amr_model/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/base_link.STL,,Chassis Step 5-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link,0.0424175601198811,-0.0146631732128587,-8.08649341391687E-05,0,0,0,0.173725014087237,6.83670000756998E-05,-1.36459818436927E-06,3.09436550728742E-12,0.000387119697750092,1.66075236482811E-11,0.00035643030289182,0,0,0,0,0,0,package://amr_model/meshes/Left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Left_Link.STL,,SidePivot-2,Origin_Left_Joint,Axis_Left_Joint,Left_Joint,continuous,0.12751,0.1625,0.052812,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
Left_Drive_Link,8.8596630226645E-07,-2.32680975759125E-06,0.000143413644960233,0,0,0,0.697781408700204,0.00153904430871612,9.85923455302605E-09,3.83699405213027E-08,0.00153902824005279,-9.12924693848699E-08,0.00291644521274641,0,0,0,0,0,0,package://amr_model/meshes/Left_Drive_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Left_Drive_Link.STL,,drivewheel-2,Origin_Left_Drive_Joint,Axis_Left_Drive_Joint,Left_Drive_Joint,continuous,-0.12751,0.050237,0.0546,0,0,0,Left_Link,0,0,-1,,,,,,,,,,,,
Left_Swivel_Link,-0.0156743661652612,4.89580691376279E-07,0.0174191529510674,0,0,0,0.040333223205091,5.12022824287162E-05,-3.43232937171794E-10,1.08744968478184E-05,4.78544041648648E-05,1.55991931416466E-09,4.83918318766484E-05,0,0,0,0,0,0,package://amr_model/meshes/Left_Swivel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Left_Swivel_Link.STL,,CastorWheelSwivel-2,Origin_Left_Swivel_Joint,Axis_Left_Swivel_Joint,Left_Swivel_Joint,continuous,0.123,1.2647E-05,-0.0005,-1.5708,0,0,Left_Link,0.00010282,0,-1,,,,,,,,,,,,
Left_Castor_Link,2.77555756156289E-15,9.43689570931383E-16,5.55111512312578E-17,0,0,0,0.16139609361482,0.00022051365922702,-3.00266562356749E-20,5.1148034061536E-19,0.000220513659227019,-2.57505836012881E-19,0.000416796707486866,0,0,0,0,0,0,package://amr_model/meshes/Left_Castor_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Left_Castor_Link.STL,,CastorWheelOnly-2,Origin_Left_Castor_Joint,Axis_Left_Castor_Joint,Left_Castor_Joint,continuous,-0.042008,0,0.075496,-1.5708,0.00010282,0.00010282,Left_Swivel_Link,0,0,1,,,,,,,,,,,,
Right_Link,-0.0424147240243435,-0.0146713748826112,8.08649356075497E-05,0,0,0,0.173725014087434,6.83664842732682E-05,1.30296341288277E-06,3.09735740214769E-12,0.000387120213534152,-1.66069196324517E-11,0.000356430302873432,0,0,0,0,0,0,package://amr_model/meshes/Right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Right_Link.STL,,SidePivot-1,Origin_Right_Joint,Axis_Right_Joint,Right_Joint,continuous,0.12751,-0.1625,0.052812,-1.5708,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
Right_Drive_Link,-2.12390212939173E-06,-1.29923811592603E-06,-0.000905415201253534,0,0,0,0.697781408700203,0.00153903235335043,-1.20987802471334E-08,-8.26668778021354E-08,0.00153904019541848,-5.45229732749371E-08,0.00291644521274641,0,0,0,0,0,0,package://amr_model/meshes/Right_Drive_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Right_Drive_Link.STL,,drivewheel-1,Origin_Right_Drive_Joint,Axis_Right_Drive_Joint,Right_Drive_Joint,continuous,0.1275,0.050262,0.055649,0,0,0,Right_Link,0,0,-1,,,,,,,,,,,,
Right_Swivel_Link,-3.52005563497571E-06,-0.0156709948782571,0.0174221833015173,0,0,0,0.0403332244174408,4.78544002007354E-05,9.90802593364523E-10,5.42830662779955E-10,5.120648517261E-05,1.08739510807914E-05,4.83876252745461E-05,0,0,0,0,0,0,package://amr_model/meshes/Right_Swivel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Right_Swivel_Link.STL,,CastorWheelSwivel-1,Origin_Right_Swivel_Joint,Axis_Right_Swivel_Joint,Right_Swivel_Joint,continuous,-0.123,-1.1136E-05,0.0005,1.5708,1.5708,0,Right_Link,0,-9.054E-05,-1,,,,,,,,,,,,
Right_Castor_Link,-1.83186799063151E-15,1.0547118733939E-15,-2.22044604925031E-16,0,0,0,0.161396093614819,0.000220513659227019,1.45676746770714E-16,-1.60903631387441E-12,0.000220513660836056,-1.77715114662682E-08,0.000416796705877829,0,0,0,0,0,0,package://amr_model/meshes/Right_Castor_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Right_Castor_Link.STL,,CastorWheelOnly-1,Origin_Right_Castor_Joint,Axis_Right_Castor_Joint,Right_Castor_Joint,continuous,0,-0.041993,0.075504,0,1.5708,0,Right_Swivel_Link,0,9.054E-05,-1,,,,,,,,,,,,
Back_Link,-0.0183318680811727,-1.75000319568852E-07,0.000116576900137087,0,0,0,0.241012788592428,0.000957865697392896,8.22946424166359E-09,2.93457156755223E-20,9.58018269160901E-05,8.38766352001865E-20,0.000880790277251438,0,0,0,0,0,0,package://amr_model/meshes/Back_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model/meshes/Back_Link.STL,,BackPivot-1,Origin_Back_Joint,Axis_Back_Joint,Back_Joint,continuous,-0.24999,0,0.052812,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
