Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0694808032720803,-4.50796504569695E-07,0.0733703353644319,0,0,0,3.76763445588817,0.0766714321789767,-2.41600659565851E-08,1.25967847791078E-07,0.0659904252719117,3.29972382668585E-08,0.142086055251958,0,0,0,0,0,0,package://amr_model_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/base_link.STL,,Chassis Step 5-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link,0.0424175601198812,-0.0146631732128588,-8.08649341392242E-05,0,0,0,0.173725014087237,6.83670000756998E-05,-1.36459818436927E-06,3.09436550712331E-12,0.000387119697750092,1.6607523648289E-11,0.00035643030289182,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Link.STL,,SidePivot-2,Origin_Left_Joint,Axis_Left_Joint,Left_Joint,continuous,0.12751,0.1625,0.052812,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Left_Drive_Link,8.8596630226645E-07,-2.32680975753574E-06,0.000143413644960233,0,0,0,0.697781408700204,0.00153904430871612,9.85923455302617E-09,3.83699405213039E-08,0.00153902824005279,-9.12924693848684E-08,0.00291644521274641,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Drive_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Drive_Link.STL,,drivewheel-2,Origin_Left_Drive_Joint,Axis_Left_Drive_Joint,Left_Drive_Joint,continuous,-0.12751,0.050237,0.0546,0,0,0,Left_Link,0,0,-1,,,,,,,,,,,,
Left_Swivel_Link,-0.0156743661652612,4.89580691320768E-07,0.0174191529510675,0,0,0,0.040333223205091,5.12022824287161E-05,-3.43232937174314E-10,1.08744968478184E-05,4.78544041648648E-05,1.55991931416432E-09,4.83918318766484E-05,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Swivel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Swivel_Link.STL,,CastorWheelSwivel-2,Origin_Left_Swivel_Joint,Axis_Left_Swivel_Joint,Left_Swivel_Joint,continuous,0.123,1.2647E-05,-0.0005,0,0,0,Left_Link,0.00010282,0,-1,,,,,,,,,,,,
Left_Castor_Link,2.77555756156289E-15,9.99200722162641E-16,5.55111512312578E-17,0,0,0,0.16139609361482,0.00022051365922702,-3.00233475132247E-20,5.11480340615384E-19,0.000220513659227019,-2.57505836012881E-19,0.000416796707486866,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Castor_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Left_Castor_Link.STL,,CastorWheelOnly-2,Origin_Left_Castor_Joint,Axis_Left_Castor_Joint,Left_Castor_Joint,continuous,-0.042008,0,0.075496,0,0,0,Left_Swivel_Link,0,0,1,,,,,,,,,,,,
Right_Link,-0.0424147240243436,-0.0146713748826112,8.08649356075497E-05,0,0,0,0.173725014087434,6.83664842732682E-05,1.30296341288277E-06,3.09735740186209E-12,0.000387120213534152,-1.66069196324567E-11,0.000356430302873432,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Link.STL,,SidePivot-1,Origin_Right_Joint,Axis_Right_Joint,Right_Joint,continuous,0.127506259223797,-0.162500000000007,0.0528119631753412,-1.5707963267949,0,3.14159265358979,base_link,0,0,-1,,,,,,,,,,,,
Right_Drive_Link,-2.1239021292252E-06,-1.29923811575949E-06,-0.0009054152012542,0,0,0,0.697781408700203,0.00153903235335043,-1.2098780247133E-08,-8.26668778021354E-08,0.00153904019541848,-5.45229732749373E-08,0.00291644521274641,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Drive_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Drive_Link.STL,,drivewheel-1,Origin_Right_Drive_Joint,Axis_Right_Drive_Joint,Right_Drive_Joint,continuous,0.1275,0.050262,0.055649,0,0,0,Right_Link,0,0,-1,,,,,,,,,,,,
Right_Swivel_Link,0.000413779301244421,0.0156685882902514,0.0174193359997007,0,0,0,0.0403332724407856,4.78565029791964E-05,8.8624659607972E-08,-2.85213998640707E-07,5.12000712496557E-05,-1.08706206871853E-05,4.83914901628397E-05,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Swivel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Swivel_Link.STL,,CastorWheelSwivel-1,Origin_Right_Swivel_Joint,Axis_Right_Swivel_Joint,Right_Swivel_Joint,continuous,-0.122999999495851,-1.11364478370679E-05,0.000500000000000833,1.5707963267949,1.5707963267949,0,Right_Link,0,-9.05402263184918E-05,-0.999999995901234,,,,,,,,,,,,
Right_Castor_Link,7.60406684230386E-06,0.0839855070156855,0.00110705119946175,0,0,0,0.161396093614818,0.000220513659228128,1.22623154919319E-11,-4.66657817760277E-10,0.000220649094225962,-5.15414898840514E-06,0.000416661272486809,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Castor_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Right_Castor_Link.STL,,CastorWheelOnly-1,Origin_Right_Castor_Joint,Axis_Right_Castor_Joint,Right_Castor_Joint,continuous,0,-0.041993,0.075504,0,0,0,Right_Swivel_Link,0,9.054E-05,-1,,,,,,,,,,,,
Back_Link,-0.0183318680811729,-1.75000319790897E-07,0.000116576900137094,0,0,0,0.241012788592428,0.000957865697392896,8.2294642416638E-09,2.93429259516477E-20,9.58018269160901E-05,8.33289584662116E-20,0.000880790277251438,0,0,0,0,0,0,package://amr_model_2/meshes/Back_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_model_2/meshes/Back_Link.STL,,BackPivot-1,Origin_Back_Joint,Axis_Back_Joint,Back_Joint,continuous,-0.249993740776166,0,0.0528119631753474,0,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
